Id,Brand,Model,Rank,Benchmark
1777,Intel,Core2 Duo T8100,1034,36.8
1778,Intel,Pentium 4405Y,1033,36.9
1779,AMD,Sempron 145,1032,36.9
1780,AMD,Athlon 64 X2 Dual Core 4800+,1031,36.9
1781,AMD,Turion II Neo N54L,1030,37
1782,AMD,Athlon X2 Dual Core BE-2400,1029,37
1783,AMD,A9-9430 APU (2016 M.SR),1018,37.4
1784,AMD,Athlon 5350 APU R3,1028,37
1785,Intel,Pentium E5300,1026,37.1
1786,Intel,Core2 Duo P7550,1025,37.1
1787,AMD,Athlon 64 X2 Dual Core 5000+,1024,37.1
1788,Intel,Core2 Duo P7450,1023,37.2
1789,AMD,Athlon II P340,1022,37.2
1790,Intel,Core2 6400,1021,37.2
1791,Intel,Xeon E5310,1020,37.3
1792,Intel,Atom Z3740D,1027,37
1793,Intel,Pentium P6200,1036,36.7
1794,Intel,Core2 Duo E6550,998,38.1
1795,AMD,Athlon Dual Core 4850e,996,38.2
1796,Intel,Core2 Duo P9400,975,39
1797,Intel,Core2 6600,974,39
1798,AMD,Athlon 64 X2 Dual Core 5200+,973,39.1
1799,AMD,Opteron 4171 HE,972,39.1
1800,AMD,Phenom II P960,971,39.1
1801,Intel,Celeron J4105,970,39.2
1802,Intel,Pentium E5800,969,39.2
1803,Intel,Core i3 M 350,976,39
1804,AMD,Turion II Ultra Mobile M600,968,39.3
1805,AMD,A8-5545M APU,966,39.3
1806,AMD,A6-3420M APU,965,39.4
1807,AMD,A10-4655M APU,964,39.4
1808,Intel,Core i7 L 620,963,39.4
1809,Intel,Core2 Duo T9300,962,39.5
1810,AMD,A6-9500E APU (2016 D.BR),961,39.6
1811,Intel,Core2 Duo E7300,960,39.6
1812,Intel,Core2 Duo P8800,967,39.3
1813,AMD,A4-3400 APU,997,38.2
1814,AMD,A10-7400P APU (2014 M.Ka),977,39
1815,Intel,Core2 Duo T8300,979,38.8
1816,AMD,A6-3400M APU,995,38.2
1817,Intel,Core2 Duo P8700,994,38.2
1818,Intel,Core2 6420,993,38.2
1819,Intel,Pentium 967,992,38.2
1820,Intel,Xeon E5320,991,38.3
1821,Intel,Core i3 M 330,990,38.3
1822,AMD,A4-4300M APU,989,38.4
1823,AMD,A10-5745M APU,978,38.9
1824,Intel,Pentium J2900,988,38.4
1825,AMD,A10-9600P APU (2016 M.BR),986,38.5
1826,Intel,Core2 Duo P9300,985,38.6
1827,Intel,Pentium 4410Y,984,38.6
1828,Intel,Core2 Duo E7200,983,38.7
1829,Intel,Pentium Silver N5000,982,38.7
1830,AMD,A6-7400K APU (2014 D.Ka),981,38.8
1831,AMD,A6-9500 APU (2016 D.BR),980,38.8
1832,Intel,Core2 Duo P8600,987,38.5
1833,Intel,Pentium D 3.73GHz,958,39.7
1834,Intel,Celeron N2930,1037,36.7
1835,AMD,A4-3300 APU,1039,36.7
1836,Intel,Core2 T7400,1095,34.3
1837,AMD,Athlon 64 3400+,1094,34.3
1838,AMD,V120,1093,34.4
1839,Intel,Pentium N3510,1092,34.4
1840,Intel,Core2 Duo L9300,1091,34.5
1841,Intel,Pentium Dual E2200,1090,34.5
1842,Intel,Core2 Duo E4500,1089,34.5
1843,Intel,Celeron N4100,1096,34.2
1844,Intel,Pentium N4200,1088,34.6
1845,Intel,Core2 4400,1086,34.6
